Status,Tahun,Periode,Jumlah_Orang,,Catatan
2018,Februari,94.9,129479.54,,Tahun 2011-2013 merupakan hasil backcasting yang dibobot dengan proyeksi penduduk 2010-2035
2018,Agustus,94.7,126282.19,,Sejak 2014 perkiraan itu ditimbang dengan proyeksi penduduk 2010-2035
2018,Tahunan,-,-,,Tahun 2018-2019 merupakan hasil backcasting yang dibobot dengan proyeksi penduduk 2015-2045 (SUPAS 2015)
2019,Februari,95.02,131692.59,,Tahun 2020 perkiraan dibobot dengan proyeksi penduduk 2015-2045 (SUPAS 2015) <br />
2019,Agustus,94.77,128755.27,,
2019,Tahunan,-,-,,
2020,Februari,95.06,133292.87,,
2020,Agustus,92.93,128454.18,,
2020,Tahunan,-,-,,
2021,Februari,93.74,131064.31,,
2021,Agustus,93.51,131050.52,,
2021,Tahunan,-,-,,
2022,Februari,94.17,135611.9,,
2022,Agustus,94.14,135296.71,,
2022,Tahunan,-,-,,
2023,Februari,94.55,138632.51,,
2023,Agustus,94.68,139852.4,,
2023,Tahunan,-,-,,
2018,Februari,5.1,6963.46,,
2018,Agustus,5.3,7073.39,,
2018,Tahunan,-,-,,
2019,Februari,4.98,6898.8,,
2019,Agustus,5.23,7104.42,,
2019,Tahunan,-,-,,
2020,Februari,4.94,6925.49,,
2020,Agustus,7.07,9767.75,,
2020,Tahunan,-,-,,
2021,Februari,6.26,8746.01,,
2021,Agustus,6.49,9102.05,,
2021,Tahunan,-,-,,
2022,Februari,5.83,8402.15,,
2022,Agustus,5.86,8425.93,,
2022,Tahunan,-,-,,
2023,Februari,5.45,7989.28,,
2023,Agustus,5.32,7855.08,,
2023,Tahunan,-,-,,
